id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,detailed_mood,bpm_category,language
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,85,2020s,euphoric,medium,english
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,72,2020s,nostalgic,slow,english
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,78,2010s,aggressive,fast,english
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,68,2020s,nostalgic,slow,english
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,90,2020s,aggressive,fast,english
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,61,2010s,dreamy,slow,english
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,65,2010s,nostalgic,medium,english
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,80,2020s,melancholic,medium,english
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,70,2020s,calm,slow,english
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,77,2020s,euphoric,medium,english